Date,Open,High,Low,Close,Adj Close,Volume
2022-08-02,30.650000,31.200001,30.219999,30.820000,27.625168,827748
2022-08-03,30.750000,32.700001,30.750000,32.270000,28.924860,5237567
2022-08-04,32.700001,33.200001,32.299999,32.450001,29.086201,4568259
2022-08-05,32.500000,33.299999,32.150002,32.869999,29.462662,2909919
2022-08-08,null,null,null,null,null,null
2022-08-09,32.869999,32.869999,32.869999,32.869999,29.462662,0
2022-08-10,33.250000,35.330002,33.200001,34.820000,31.210526,12159902
2022-08-11,35.000000,35.349998,34.340000,34.500000,30.923697,3258591
2022-08-12,34.400002,36.200001,34.400002,35.709999,32.008266,5495578
2022-08-15,36.200001,36.200001,35.400002,35.610001,31.918634,3871191
2022-08-16,35.529999,35.790001,33.799999,34.150002,30.609976,2359542
2022-08-17,34.450001,34.509998,33.650002,33.980000,30.457600,2016039
2022-08-18,34.450001,35.200001,34.250000,34.529999,30.950584,3717063
2022-08-19,34.450001,34.549999,34.049999,34.470001,30.896805,687283
2022-08-22,34.250000,34.990002,33.750000,34.500000,30.923697,2389216
2022-08-23,35.189999,35.490002,34.500000,34.700001,31.102964,5241185
2022-08-24,34.799999,34.970001,33.919998,34.049999,30.520340,1927189
2022-08-25,34.299999,34.480000,33.900002,34.130001,30.592052,1298160
2022-08-26,34.009998,34.349998,33.560001,33.939999,30.421745,1424360
2022-08-29,33.750000,34.250000,32.950001,34.009998,30.484489,1250608
2022-08-30,34.700001,35.000000,33.520000,33.740002,30.242479,1367758
2022-08-31,34.000000,34.299999,33.500000,33.880001,30.367968,1640715
2022-09-01,34.000000,34.650002,33.880001,34.110001,30.574125,2389661
2022-09-02,34.200001,34.590000,33.700001,33.860001,30.350040,435882
2022-09-06,33.790001,34.500000,33.549999,34.330002,30.771320,2106360
2022-09-07,34.330002,34.889999,33.950001,34.060001,30.529308,1969240
2022-09-08,34.389999,34.389999,33.860001,33.930000,30.412785,742363
2022-09-09,34.000000,34.150002,33.400002,33.570000,30.090099,1435950
2022-09-12,33.619999,33.930000,33.450001,33.500000,30.027355,681682
2022-09-13,33.740002,33.740002,33.330002,33.360001,29.901871,512100
2022-09-14,33.599998,33.889999,33.349998,33.730000,30.233513,1169018
2022-09-15,33.849998,34.070000,33.180000,33.220001,29.776382,2024170
2022-09-16,33.400002,33.470001,32.900002,33.220001,29.776382,754390
2022-09-19,33.380001,33.380001,32.509998,32.790001,29.390957,837793
2022-09-20,32.970001,32.970001,31.500000,31.950001,28.638031,2605025
2022-09-21,32.150002,32.869999,30.600000,31.360001,28.109192,4188339
2022-09-22,31.000000,31.469999,30.100000,31.180000,27.947851,2581539
2022-09-23,31.389999,31.500000,31.010000,31.080000,27.858217,1046198
2022-09-26,31.280001,31.969999,31.150000,31.820000,28.521505,1024566
