Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1035.555542,1066.666626,1031.102173,1060.000000,836.751404,18585
2018-01-03,1062.222168,1074.666626,1048.888916,1049.653320,828.583862,95175
2018-01-04,1057.688843,1066.666626,1054.231079,1060.702271,837.305847,104220
2018-01-05,1064.000000,1082.657837,1040.000000,1050.088867,828.927734,87615
2018-01-08,1050.657837,1102.222168,1050.657837,1095.431152,864.720398,148680
2018-01-09,1106.693359,1112.888916,1069.351074,1073.235596,847.199341,49072
2018-01-10,1079.111084,1126.888916,1076.444458,1124.435547,887.616150,188190
2018-01-11,1137.768921,1160.888916,1123.555542,1128.808838,891.068298,202567
2018-01-12,1137.306641,1147.555542,1102.222168,1109.395508,875.743469,63022
2018-01-16,1110.124390,1131.555542,1104.000000,1126.195557,889.005310,80527
2018-01-17,1123.555542,1133.333374,1111.013306,1129.244385,891.412109,84487
2018-01-18,1129.244385,1129.244385,1129.244385,1129.244385,891.412109,0
2018-01-19,1151.111084,1208.000000,1137.777832,1208.000000,953.580811,186772
2018-01-22,1213.333374,1225.777832,1204.462280,1213.626709,958.022522,81157
2018-01-23,1206.231079,1208.888916,1186.666626,1190.675537,939.905273,57442
2018-01-24,1192.000000,1201.777832,1173.333374,1190.479980,939.750732,78232
2018-01-25,1190.479980,1190.479980,1190.479980,1190.479980,939.750732,0
2018-01-26,1173.333374,1177.777832,1164.444458,1169.333374,923.057922,10282
2018-01-29,1166.222168,1169.333374,1152.000000,1163.893311,918.763550,20182
2018-01-30,1163.893311,1163.893311,1163.893311,1163.893311,918.763550,0
2018-01-31,1173.333374,1185.777832,1168.897827,1173.057739,925.997742,12847
2018-02-01,1173.333374,1181.324463,1155.555542,1161.484497,916.862122,12892
2018-02-02,1155.555542,1171.377808,1103.413330,1142.933350,902.218018,31365
2018-02-05,1142.933350,1142.933350,1142.933350,1142.933350,902.218018,0
2018-02-06,1142.933350,1142.933350,1142.933350,1142.933350,902.218018,0
2018-02-07,1154.675537,1170.666626,1137.777832,1145.048828,903.888000,16087
2018-02-08,1159.991089,1160.000000,1130.666626,1148.328857,906.477173,22725
2018-02-09,1146.666626,1154.666626,1133.377808,1150.444458,908.147095,13680
2018-02-12,1154.666626,1154.666626,1133.333374,1138.168945,898.457031,15772
2018-02-13,1137.777832,1146.666626,1128.888916,1137.457764,897.895569,7875
2018-02-14,1133.333374,1140.444458,1129.786621,1136.897827,897.453613,17460
2018-02-15,1142.222168,1177.777832,1141.333374,1149.431152,907.347290,31500
