Date,Open,High,Low,Close,Adj Close,Volume
2022-10-10,167.789993,169.000000,166.300003,166.750000,156.836212,509419
2022-10-11,167.000000,168.000000,165.500000,165.729996,155.876846,556040
2022-10-12,166.179993,168.240005,165.699997,166.300003,156.412964,455644
2022-10-13,169.300003,171.289993,167.800003,168.369995,158.359894,1580868
2022-10-14,169.199997,169.210007,167.000000,168.199997,158.199997,864694
2022-10-17,159.899994,159.949997,157.000000,157.130005,157.130005,603894
2022-10-18,157.130005,158.440002,155.449997,155.710007,155.710007,281561
2022-10-19,156.690002,157.490005,155.300003,156.229996,156.229996,683981
2022-10-20,156.800003,157.199997,155.000000,155.309998,155.309998,380608
2022-10-21,155.750000,155.750000,152.500000,153.509995,153.509995,631678
2022-10-24,156.000000,156.750000,153.000000,153.210007,153.210007,495847
2022-10-25,153.800003,154.789993,152.860001,153.699997,153.699997,307161
2022-10-26,153.000000,153.000000,149.500000,150.070007,150.070007,653742
2022-10-27,150.000000,151.000000,148.000000,148.529999,148.529999,563263
2022-10-28,145.050003,149.000000,141.100006,141.520004,141.520004,1204177
2022-10-31,142.020004,142.020004,139.710007,140.259995,140.259995,267747
2022-11-01,141.500000,146.000000,141.500000,144.820007,144.820007,1442471
2022-11-02,144.919998,148.949997,144.000000,148.479996,148.479996,1026531
2022-11-03,148.889999,149.250000,147.050003,147.919998,147.919998,266720
2022-11-04,145.389999,146.199997,144.009995,146.009995,146.009995,555395
2022-11-07,147.210007,149.979996,147.210007,147.770004,147.770004,432114
2022-11-08,148.800003,149.000000,147.570007,148.440002,148.440002,212655
2022-11-09,148.440002,148.440002,148.440002,148.440002,148.440002,0
2022-11-10,148.949997,152.600006,148.899994,150.610001,150.610001,894123
2022-11-11,151.600006,156.500000,149.360001,154.830002,154.830002,2230210
2022-11-14,153.000000,154.350006,151.100006,151.740005,151.740005,547359
2022-11-15,151.809998,154.199997,150.699997,151.809998,151.809998,690939
2022-11-16,152.000000,152.550003,150.789993,151.300003,151.300003,319136
2022-11-17,150.839996,151.880005,147.149994,148.119995,148.119995,499718
2022-11-18,147.619995,148.399994,146.009995,147.419998,147.419998,515152
2022-11-21,147.300003,148.000000,146.580002,147.360001,147.360001,202245
2022-11-22,147.889999,147.979996,146.059998,146.339996,146.339996,403710
2022-11-23,147.399994,148.350006,146.410004,147.309998,147.309998,662489
2022-11-25,149.789993,151.699997,148.600006,149.229996,149.229996,953514
2022-11-28,146.009995,148.649994,144.509995,146.009995,146.009995,427821
2022-11-29,146.100006,149.899994,146.000000,149.250000,149.250000,796431
2022-11-30,150.699997,151.000000,148.500000,150.149994,150.149994,734929
2022-12-01,151.250000,153.750000,151.250000,151.940002,151.940002,1352036
2022-12-02,151.009995,152.300003,149.000000,149.899994,149.899994,295297
2022-12-05,150.000000,150.000000,146.449997,146.610001,146.610001,188836
2022-12-06,147.000000,147.899994,143.800003,146.190002,146.190002,407360
2022-12-07,146.949997,147.500000,146.110001,147.199997,147.199997,423488
2022-12-08,147.889999,147.889999,146.029999,146.630005,146.630005,237768
2022-12-09,147.399994,147.399994,144.949997,145.119995,145.119995,289462
2022-12-12,145.800003,146.699997,142.300003,143.089996,143.089996,448169
2022-12-13,142.669998,144.000000,142.000000,142.630005,142.630005,258976
2022-12-14,142.110001,143.250000,141.809998,142.020004,142.020004,292141
2022-12-15,142.050003,142.869995,137.970001,140.070007,140.070007,640873
2022-12-16,139.750000,140.199997,137.059998,138.770004,138.770004,488467
2022-12-19,138.509995,140.199997,136.500000,138.410004,138.410004,222786
2022-12-20,138.000000,138.000000,128.029999,128.300003,128.300003,1425138
2022-12-21,128.199997,129.500000,122.300003,124.400002,124.400002,732819
2022-12-22,125.199997,133.000000,125.199997,129.929993,129.929993,1274696
2022-12-23,130.000000,134.889999,128.800003,132.610001,132.610001,576209
2022-12-27,138.789993,139.149994,136.229996,137.449997,137.449997,441283
2022-12-28,137.009995,147.750000,135.050003,140.589996,140.589996,1309927
2022-12-29,139.500000,143.000000,136.990005,140.259995,140.259995,1371741
2022-12-30,139.600006,146.990005,139.000000,143.990005,143.990005,2836596
2023-01-03,145.800003,145.800003,142.800003,143.190002,143.190002,363213
2023-01-04,147.000000,148.940002,143.110001,143.520004,143.520004,1345255
2023-01-05,144.389999,144.399994,141.699997,142.190002,142.190002,259107
2023-01-06,142.500000,147.250000,142.000000,145.029999,145.029999,1416917
2023-01-09,145.500000,147.750000,144.199997,146.110001,146.110001,1008489
2023-01-10,148.509995,150.899994,144.699997,145.699997,145.699997,1139364
2023-01-11,146.500000,148.869995,146.000000,147.529999,147.529999,1600198
2023-01-12,147.000000,150.000000,146.399994,146.789993,146.789993,1110453
2023-01-13,145.500000,146.000000,141.610001,142.380005,142.380005,458436
2023-01-17,138.449997,139.000000,127.570000,127.660004,127.660004,1720644
2023-01-18,127.650002,130.500000,126.699997,129.779999,129.779999,1188014
2023-01-19,130.990005,134.000000,128.000000,131.809998,131.809998,2445531
2023-01-20,131.500000,132.000000,125.199997,125.970001,125.970001,1248524
2023-01-23,126.000000,126.000000,123.599998,125.129997,125.129997,685568
2023-01-24,125.989998,127.800003,124.510002,127.050003,127.050003,1690803
2023-01-25,127.800003,130.000000,127.650002,128.899994,128.899994,1411774
2023-01-26,129.600006,132.889999,129.500000,131.149994,131.149994,3207567
2023-01-27,131.800003,132.350006,129.149994,130.250000,130.250000,1098177
2023-01-30,131.500000,133.490005,129.899994,130.190002,130.190002,1833589
2023-01-31,130.990005,131.750000,130.119995,131.229996,131.229996,627027
2023-02-01,131.550003,132.500000,130.509995,130.789993,130.789993,390236
2023-02-02,129.800003,130.600006,129.500000,130.160004,130.160004,468500
2023-02-03,130.250000,130.899994,128.500000,130.179993,130.179993,362259
2023-02-06,133.000000,139.899994,131.500000,139.009995,139.009995,3467141
2023-02-07,139.600006,142.100006,135.000000,136.710007,136.710007,2841008
2023-02-08,136.500000,138.600006,135.699997,136.940002,136.940002,1945608
2023-02-09,138.500000,142.000000,138.050003,140.600006,140.600006,3500714
2023-02-10,138.000000,140.500000,132.990005,133.660004,133.660004,3638652
2023-02-13,133.660004,135.889999,132.000000,134.110001,134.110001,1236892
2023-02-14,134.949997,135.479996,132.100006,133.309998,133.309998,782527
2023-02-15,132.199997,135.000000,131.100006,133.339996,133.339996,847702
2023-02-16,134.600006,134.649994,131.610001,132.000000,132.000000,664707
2023-02-17,131.500000,131.500000,126.550003,128.039993,128.039993,1775392
2023-02-21,125.199997,126.699997,124.699997,126.110001,126.110001,457290
2023-02-22,126.699997,126.900002,125.199997,125.849998,125.849998,393211
2023-02-23,125.699997,125.699997,123.000000,123.480003,123.480003,519666
2023-02-24,123.500000,123.800003,121.000000,121.230003,121.230003,692048
2023-02-27,121.000000,121.459999,116.120003,118.160004,118.160004,1263478
2023-02-28,118.099998,118.099998,112.000000,112.690002,112.690002,1923517
2023-03-01,112.900002,113.849998,109.809998,112.820000,112.820000,1512850
2023-03-02,112.099998,114.639999,111.110001,111.839996,111.839996,957723
2023-03-03,110.500000,120.180000,109.019997,119.870003,119.870003,2755146
2023-03-06,120.250000,122.839996,117.699997,118.349998,118.349998,1648417
2023-03-07,119.000000,119.000000,116.620003,117.389999,117.389999,644232
2023-03-08,118.000000,118.949997,115.010002,115.959999,115.959999,1192306
2023-03-09,116.339996,119.400002,116.339996,117.699997,117.699997,1131241
2023-03-10,118.099998,121.489998,118.099998,119.680000,119.680000,1177450
2023-03-13,121.489998,123.820000,121.400002,122.290001,122.290001,2376024
